Filename,def_1_5_percent
08099f30-7f8c-47e3-9bcf-d8a497a5ce78___RS_HL 7284,3.14338020488451
080a3d05-ebc3-4d00-9883-d68e8882cc49___RS_HL 4126,2.9794888160376
08132ae0-becf-4283-966c-9ca9fedd7d38___RS_HL 6186,1.47898287493513
082de3fe-a86a-43f0-9d49-02c7bc5bc0a0___RS_HL 6598,3.37970091604249
0842ff3c-1718-40b9-8533-93b9dbd63e60___RS_HL 6116,3.92490483331411
0852a387-3484-43ba-92e7-7ad90d538ae5___RS_HL 6440,3.65408311862888
085d7ee0-14df-4137-ba72-5752d4d242ee___RS_HL 7277,4.05019293646352
087062ef-0a0d-44cf-9812-1adf19c7ea2c___RS_HL 4638,3.73372916190911
08795f30-a915-44b7-b37a-644709ae75aa___RS_HL 3963,4.57929036929761
087e939a-154b-46c5-ad40-2684f7a427d4___RS_HL 5515,1.25763927471084
08809171-024c-4e9a-9414-248928f4afe5___RS_HL 3331,1.93698509527703
088221ec-3821-475c-a817-84e68fa5b5bb___RS_HL 5176,4.36295197901221
08845b90-776a-48ce-b481-b7a58353efde___RS_HL 3802,1.59402744148507
0887ffcf-4173-42aa-8aa1-4a15b1ed5d0f___RS_HL 5027,1.09373928546938
089542e0-159c-4766-9195-ab75b343ad0f___RS_HL 5109,1.43940751358777
08a92051-876c-4e59-b0ca-63789836b596___RS_HL 4485,1.67637143732761
08b9010a-2851-4d20-9da2-13c2305704e6___RS_HL 7143,3.19924302483185
