Filename,def_1_5_percent
3b8eb8d4-fc2b-4ed6-ba5d-185e09dec7e4___RS_HL 4141,1.11662144037928
3b96870e-1931-4acb-8b74-021c27915396___RS_HL 6678,1.11354232110748
3ba289b8-ffb3-425e-aa80-d4c2b9e87592___RS_HL 5410,4.67292469764294
3ba8d4e5-2004-43b4-9a44-d5fee76a0c80___RS_HL 5728,4.89896888149073
3bb9cf1d-8187-4761-b90b-059ac9eb6f4f___RS_HL 6828,1.25940221694378
3bc5eed9-18c5-4fd0-96a8-3a4f1378baaf___RS_HL 5986,2.63679725601586
3bd88ef7-2bbd-4468-83f5-79296a102104___RS_HL 4220,2.78496467920579
3be6d998-2505-42fe-be85-23feb7e22f3e___RS_HL 5094,1.0587520610952
3bf12b65-7c92-428f-aa6e-c61038121f1f___RS_HL 5239,1.46605689079174
3bf32201-a268-4b1e-964c-c058deba79e9___RS_HL 5250,3.99620912967936
3bf9ee4a-7b0c-4250-bd31-7771905402ff___RS_HL 4124,4.72140762463343
3c04bf73-22b0-49bb-a928-972cdb4d1da6___RS_HL 4206,4.94401669628
3c06288f-29a4-4bc7-9822-52e7fe09d07b___RS_HL 2745,2.43140105397056
3c08e50b-f279-4668-8e6a-31ef3023202a___RS_HL 3502,1.66975881261596
3c2814b5-985c-4c4b-a2ac-474b4290f077___RS_HL 2863,1.73110213502597
3c3800b5-000f-4e75-bc21-64493fe58892___RS_HL 6387,4.88520960677672
3c52ee45-63a8-44a1-932a-85176b0f6b4b___RS_HL 6250,3.91627120236809
