Filename,def_15_20_percent
b34e363f-b30f-42a4-9cdd-c2fca9c60f26___RS_HL 3159,17.8018746553942
b36be736-f266-4f46-b95e-32526a01441e___RS_HL 2942,17.4293114612562
b36c6a23-20e1-401c-903f-dfb2deb7a5f4___RS_HL 6286,15.0222518914108
b379a041-0d54-473e-92bc-835c2479bca0___RS_HL 3088,16.5948906635448
b3850567-2891-4c6a-a625-d23487982eab___RS_HL 5841,19.2903947578712
b38faec8-0c62-4608-b711-e62ddd4889fd___RS_HL 7483,17.4031680782452
b3a0d3e7-bab0-4729-b3b5-58f3784ec924___RS_HL 5921,17.3211362041633
b3d010c1-8c96-4674-b526-04a0874aa543___RS_HL 4839,17.148889583985
b3e3e409-a953-4b6c-8c4a-cdd507104d7d___RS_HL 5578 1,15.3493264763463
b4069962-eac9-403d-9195-bae430444ac5___RS_HL 3893,15.990090143872
b41bc5f0-c73b-419e-93bd-3b08d3e57727___RS_HL 4176,16.5695274175531
b428b60e-4c9a-4eb9-9400-1d35f9340680___RS_HL 3293,18.4744779582367
b42a7f6d-fe76-4031-8369-03099a3ac27a___RS_HL 6892,15.8275645059786
b43c971e-cf76-4bc0-8601-bb643b56aa88___RS_HL 5937,18.6285854979687
b44dcbac-ddfc-4dc0-8800-52a35b590d30___RS_HL 7153,17.912632015415
b4552434-0bf8-4835-96ea-89af5c6d919f___RS_HL 2998,18.004444903866
b4741523-839f-4296-a9a2-d2e8d83bfe73___RS_HL 6745,15.2610751361908
b4761660-7f2b-47f9-aa50-1c5110cb2853___RS_HL 6802,18.3386113219399
b4896f1c-9483-4d01-9897-dee38268e78c___RS_HL 3800,15.1425942962282
b49d2b41-bdb3-436c-9114-c55922d923a7___RS_HL 3166,15.6965294592413
b4a4b212-55fa-4acd-9965-d2af9481530a___RS_HL 4669,15.4346790835494
b4affb22-d012-42ad-a10f-ecf03e560c9c___RS_HL 4917,18.7223954273837
b4b751f7-7fe1-4ac9-9d43-41c5c18c4f7a___RS_HL 3291,18.0064800097811
b4b9fee8-7c69-4f72-afc2-134cf4beec59___RS_HL 7450,18.7627370384443
b4cf2330-e6cd-4b3b-aa3a-4936e38e0571___RS_HL 7287,17.1231586482312
b4f30be3-8f14-4138-8b06-9beb44b20c62___RS_HL 3764,16.921495567262
b4ffb591-896b-4ac0-b3f2-3b4401cd520d___RS_HL 3695,15.8205818611677
b4ffc7cd-4d63-4966-9ee8-551fb51e05dc___RS_HL 6054,15.1819633320487
b509211f-9916-42e0-9637-d491f96f5452___RS_HL 4529,16.8012108980827
b50b21c7-7491-4734-9f2b-74c28096507b___RS_HL 3341,16.1830682281652
b511ec89-d5ee-4b58-a2e2-c7c824ab4c65___RS_HL 5976,15.7775629994578
b51f5054-5348-4c71-9c2f-1b6621670169___RS_HL 4310,15.9140431287099
b5385eb1-28e7-4ee5-ba30-cc2ed7f66c8f___RS_HL 2879,17.0041841004184
b53db8c1-1ddd-4ef3-b049-fdf63f46c400___RS_HL 5478,17.2987574284171
b54decab-cdd6-406c-bc01-3fa12900f8b2___RS_HL 4577,18.8927166854669
b55e4d3c-4c24-4fe0-986f-10289a5f3c13___RS_HL 4881,16.49133020084
b5805a10-797c-4639-a001-8a17f96abe08___RS_HL 4265,15.4342148220699
b584a2af-33d7-443e-ada1-242a681cfea3___RS_HL 7158,15.9249744482197
b5863c78-1aba-4494-b0eb-e2b37f5f876b___RS_HL 4088,16.2330390395083
b58b7d91-8ef1-4520-83f7-2de999660512___RS_HL 4455,19.4437238795215
b5ab45ed-a998-4e7c-831a-cb98b53450f2___RS_HL 5949,18.8840318848033
b5acd86d-9165-406a-9920-9e23b2a6259f___RS_HL 3898,18.3808825489935
b5b7ac2c-d8a7-4b26-9ca7-9af420faab35___RS_HL 6020,19.0077997017042
b5bc1904-2878-4303-a676-728d15fee13d___RS_HL 4728,19.8887508136576
b5bf6916-482e-42fa-83b7-63ec393db2c0___RS_HL 5293,15.4007953462385
b5cf47eb-4dd1-47a1-8891-8deaff6e686d___RS_HL 3558,16.1289397459061
b5d0bad3-5a36-407d-8806-bbe4993ca0d7___RS_HL 3093,17.2752159846411
b5f02af3-5255-40c4-9ca9-c584b978cbe8___RS_HL 4600,17.5696059330023
b5f3d185-e709-4c81-b623-3c937d3da8a5___RS_HL 4451,17.4031197347682
b60d92dd-0b26-4a44-bc87-80a0f991b7b8___RS_HL 4187,16.0282467436133
b61a7773-560f-4725-8eab-9224c99a65e8___RS_HL 4688,16.1272419232342
b61cd264-45b8-4685-b1ca-faeb13337bec___RS_HL 5690 1,18.0382092956943
b62a16da-835b-44f2-9fa1-004ba508985c___RS_HL 5551 1,15.2931379080613
b632001e-51cf-42c1-8fde-750a5d4e0040___RS_HL 5604 1,16.4650059311981
b642a67c-2c1f-44db-a7fb-c2937ce13d5b___RS_HL 6256,18.3863840929547
b64ac4df-01a1-4e55-835c-137fbe6ff72c___RS_HL 4915,17.7375007014197
b64d63a5-efc5-4712-9d33-933250b4e561___RS_HL 6347,16.2948305713579
b655feb9-1e92-4f08-bfe1-a78dee213669___RS_HL 3082,18.9723741211562
b6993f19-84bc-4f3d-b38b-12fa43e28023___RS_HL 7063,15.9054400728859
b69a772c-ecd1-433a-aba9-ae42908b1af2___RS_HL 4268,16.2085076329657
b6b0ce43-ebe2-4ea9-b575-9ba152cd073b___RS_HL 6546,17.4202363180933
b6b7e281-f9a1-4137-960a-0b31d666720f___RS_HL 4888,16.5758605217614
b6bf776a-4680-482b-baec-d8798c89ed1c___RS_HL 4428,19.6956563613599
b6d3d2d3-1cc2-4d0e-8555-143068142478___RS_HL 4650,17.1979425452255
b6d9e615-2363-4529-b174-c376b22aed3a___RS_HL 3787,18.6486486486486
b6dd3896-b46d-46cd-a89b-8d015dc3c38e___RS_HL 6483,18.5843633959001
b6e23551-9c82-44d2-b1a3-dc7eba2bf132___RS_HL 5723 1,15.1704723177979
b6e7783d-eed3-4489-9ab6-5a67aea76318___RS_HL 5597,15.9427020948935
b7089d25-1938-4d6e-82f8-6f504c3e26ba___RS_HL 5200,15.5301892460198
b70a0421-059d-4563-9bf7-a32efb23ed55___RS_HL 3323,15.7674810446504
b7174c7a-1316-4850-92b5-a55fc8cd84bb___RS_HL 3670,16.312504150342
b71c6688-52cd-4b2c-b3df-3fa35c3fcbdb___RS_HL 5282,19.933967506783
b71d1957-e30e-4425-ba61-2d136e84b668___RS_HL 4454,15.744925630701
b721f179-3b4f-48c4-9ec1-b5f68657dde2___RS_HL 6956,19.7005919854281
b72c5855-b76d-4d9f-bd70-c514ce5562e9___RS_HL 7479,16.4200754279083
b72e9aa5-217f-49ea-abbc-c5f5ad978227___RS_HL 3655,18.0906322765538
b73716e7-c752-491b-8023-e30bf3c104e0___RS_HL 3465,18.0412371134021
b748bac9-9d81-40c3-85d0-34f3f2374c56___RS_HL 3122,15.0104086775501
b7648133-49a5-4b06-bc0d-84fda3429c85___RS_HL 3197,18.0656139934307
b7675e8a-cbdc-4a88-ba95-235b7433f21c___RS_HL 7381,19.1131848628843
b785b8cd-9464-4c82-9b1e-21a9d340157c___RS_HL 6952,15.167614254202
b7abfde5-1375-49af-8651-62a0a850447c___RS_HL 2790,19.1022559888363
b7ac4fa3-554d-40c9-95fa-ad68a4b8f567___RS_HL 3141,18.8614442313747
b7d14bba-dfc4-405d-9f90-1286a2f0c0ed___RS_HL 4818,15.9525484427959
b7e1aa10-0274-4d70-9d6b-9f993b727192___RS_HL 5395,18.5793174205619
b7fcdf65-1f9e-4afc-887c-b4952b35495b___RS_HL 3780,15.1622971285893
b806080a-9fc9-4b52-8c39-df966cf5f496___RS_HL 3968,16.1801615953241
b80880b2-246c-4777-a9f5-ad44f951cb97___RS_HL 3202,18.8039238860655
b819d5a4-28a7-4335-ab2f-697d48c95dbd___RS_HL 3330,17.0304114490161
b82305aa-55dd-48f2-95fb-fdd68189ba5e___RS_HL 5234,18.3643051943934
b8288d31-a161-496e-b290-abe1a332bb58___RS_HL 3750,19.6428571428571
b8301cf6-7405-40ea-9899-42bb8a3a4a91___RS_HL 3901,17.1682567215958
b835cda6-e97a-49cf-8acf-f1ed51e362c2___RS_HL 3240,16.8101097036184
b836c5cd-9675-412e-a643-274f605ced89___RS_HL 6339,18.1113814258515
b840a1a1-bdf5-40de-b2c9-d808c2ac1cd4___RS_HL 5774,19.0698270339526
b8414608-7f91-4121-9ec6-b8b481f8af2e___RS_HL 4051,15.482932802694
b844568d-8ed2-41fd-a3e9-f23637487a6b___RS_HL 3125,17.3006205470007
b84d5fcc-188e-4b73-b8a5-262600c5c944___RS_HL 3410,18.4818184547939
b85dd6e8-b054-4a58-bdff-d0bd3de83fbd___RS_HL 4159,19.4961091530865
b86c1220-ebf8-4871-b38a-3f99c5ab396e___RS_HL 5044,18.2436694602145
b86d7257-5705-432b-951d-56a0c43f87a0___RS_HL 4973,16.3279311619068
b880ded9-06e4-4e40-a803-e5cfad22397e___RS_HL 6207,18.853272045482
b88c1249-a694-448b-9a65-3a1188e578a8___RS_HL 6375,17.6295721856017
b8930725-84ed-4c13-9cb3-a29e112e3fe9___RS_HL 4863,18.689809948581
b8abde57-5e7d-4b7d-972d-70b588548d35___RS_HL 6335,15.4839452180918
b8ad57b9-9a02-4252-892b-57b296c7f425___RS_HL 5031,17.7950987515688
b8b45b14-b278-4c7e-b14f-9eaf87a4efee___RS_HL 3662,17.4272424413854
b8bcbd9f-0806-4b2e-a452-1c0acc7cd5d0___RS_HL 7005,16.0808341395249
b8be4887-50a7-4d7d-bed7-97c1912d9d8c___RS_HL 5069,16.5603747922019
b8ee9fa3-6c35-492c-9785-6852f0282b76___RS_HL 6756,18.807796272585
b8f80c0c-6ac7-4aba-98c9-e843de877bab___RS_HL 2888,16.1775474567679
b8f90e18-bac3-495a-9c2b-8fd912e1aa54___RS_HL 5983,17.342249302902
b91142eb-080a-4465-9082-c9f404e81e19___RS_HL 5451,15.2835637794873
b913579b-df8b-4c32-9b32-ece3e36e6af6___RS_HL 3915,19.5128588923663
b9184ba5-e9bc-4d7a-bd69-4b232fec4356___RS_HL 7165,18.0058955183143
b9235dc0-104c-4bc1-894f-bb492618f1dd___RS_HL 6521,16.6966646043085
b92ff029-51a7-4a2f-8dce-708b5c7f5f95___RS_HL 5072,15.5466269198367
